# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    471   4.710000000   0.728085389   0.854257502
    472   4.720000000   0.736627964   0.745457785
    473   4.730000000   0.744082541   0.635619476
    474   4.740000000   0.750438736   0.524881398
    475   4.750000000   0.755687550   0.413380985
    476   4.760000000   0.759821360   0.301254446
    477   4.770000000   0.762833904   0.188636962
    478   4.780000000   0.764720274   0.075662911
    479   4.790000000   0.765476903  -0.037533891
    480   4.800000000   0.765101564  -0.150819927
    481   4.810000000   0.763593365  -0.264061704
    482   4.820000000   0.760952748  -0.377125485
    483   4.830000000   0.757181493  -0.489877001
    484   4.840000000   0.752282723  -0.602181187
    485   4.850000000   0.746260911  -0.713901918
    486   4.860000000   0.739121892  -0.824901766
    487   4.870000000   0.730872874  -0.935041775
    488   4.880000000   0.721522457  -1.044181266
    489   4.890000000   0.711080644  -1.152177676
    490   4.900000000   0.699558867  -1.258886426
    491   4.910000000   0.686970003  -1.364160843
    492   4.920000000   0.673328395  -1.467852117
    493   4.930000000   0.658649873  -1.569809312
    494   4.940000000   0.642951780  -1.669879439
    495   4.950000000   0.626252986  -1.767907572
    496   4.960000000   0.608573910  -1.863737038
    497   4.970000000   0.589936540  -1.957209658
    498   4.980000000   0.570364443  -2.048166064
    499   4.990000000   0.549882783  -2.136446064
    500   5.000000000   0.528518322  -2.221889086
    501   5.010000000   0.506299431  -2.304334678
    502   5.020000000   0.483256084  -2.383623065
    503   5.030000000   0.459419854  -2.459595768
    504   5.040000000   0.434823896  -2.532096277
    505   5.050000000   0.409502933  -2.600970765
    506   5.060000000   0.383493226  -2.666068848
    507   5.070000000   0.356832537  -2.727244373
    508   5.080000000   0.329560093  -2.784356240
    509   5.090000000   0.301716531  -2.837269226
    510   5.100000000   0.273343839  -2.885854826
    511   5.110000000   0.244485290  -2.929992082
    512   5.120000000   0.215185370  -2.969568394
    513   5.130000000   0.185489686  -3.004480308
    514   5.140000000   0.155444883  -3.034634260
    515   5.150000000   0.125098540  -3.059947270
    516   5.160000000   0.094499067  -3.080347574
    517   5.170000000   0.063695592  -3.095775186
    518   5.180000000   0.032737840  -3.106182375
    519   5.190000000   0.001676016  -3.111534056
    520   5.200000000  -0.029439325  -3.111808084
    521   5.210000000  -0.060557405  -3.106995450
    522   5.220000000  -0.091627360  -3.097100364
    523   5.230000000  -0.122598364  -3.082140245
    524   5.240000000  -0.153419766  -3.062145588
    525   5.250000000  -0.184041222  -3.037159744
    526   5.260000000  -0.214412819  -3.007238585
    527   5.270000000  -0.244485205  -2.972450080
    528   5.280000000  -0.274209706  -2.932873782
    529   5.290000000  -0.303538444  -2.888600229
    530   5.300000000  -0.332424446  -2.839730283
    531   5.310000000  -0.360821749  -2.786374396
    532   5.320000000  -0.388685493  -2.728651835
    533   5.330000000  -0.415972011  -2.666689866
    534   5.340000000  -0.442638910  -2.600622909
    535   5.350000000  -0.468645139  -2.530591684
    536   5.360000000  -0.493951056  -2.456742344
    537   5.370000000  -0.518518479  -2.379225629
    538   5.380000000  -0.542310736  -2.298196026
    539   5.390000000  -0.565292696  -2.213810969
    540   5.400000000  -0.587430806  -2.126230068
    541   5.410000000  -0.608693106  -2.035614389
    542   5.420000000  -0.629049250  -1.942125779
    543   5.430000000  -0.648470508  -1.845926260
    544   5.440000000  -0.666929771  -1.747177477
    545   5.450000000  -0.684401545  -1.646040211
    546   5.460000000  -0.700861947  -1.542673967
    547   5.470000000  -0.716288687  -1.437236626
    548   5.480000000  -0.730661053  -1.329884169
    549   5.490000000  -0.743959895  -1.220770468
    550   5.500000000  -0.756167600  -1.110047143
    551   5.510000000  -0.767268071  -0.997863494
    552   5.520000000  -0.777246706  -0.884366476
    553   5.530000000  -0.786090371  -0.769700754
    554   5.540000000  -0.793787378  -0.654008795
