# Nghiem giai tich cho phuong trinh truyen nhiet 1D
#
#    j (t)    i (x)               t               x               u           |err|
         3       45    1.800300e+01    4.545455e-01    1.000000e+02    4.263256e-14
         3       46    1.800300e+01    4.646465e-01    1.000000e+02    2.842171e-14
         3       47    1.800300e+01    4.747475e-01    1.000000e+02    1.421085e-14
         3       48    1.800300e+01    4.848485e-01    1.000000e+02    1.421085e-14
         3       49    1.800300e+01    4.949495e-01    1.000000e+02    0.000000e+00
         3       50    1.800300e+01    5.050505e-01    1.000000e+02    0.000000e+00
         3       51    1.800300e+01    5.151515e-01    1.000000e+02    1.421085e-14
         3       52    1.800300e+01    5.252525e-01    1.000000e+02    2.842171e-14
         3       53    1.800300e+01    5.353535e-01    1.000000e+02    1.421085e-14
         3       54    1.800300e+01    5.454545e-01    1.000000e+02    1.421085e-14
         3       55    1.800300e+01    5.555556e-01    1.000000e+02    1.563194e-13
         3       56    1.800300e+01    5.656566e-01    1.000000e+02    7.105427e-13
         3       57    1.800300e+01    5.757576e-01    1.000000e+02    2.842171e-12
         3       58    1.800300e+01    5.858586e-01    1.000000e+02    1.129763e-11
         3       59    1.800300e+01    5.959596e-01    1.000000e+02    4.381207e-11
         3       60    1.800300e+01    6.060606e-01    1.000000e+02    1.639648e-10
         3       61    1.800300e+01    6.161616e-01    1.000000e+02    5.941558e-10
         3       62    1.800300e+01    6.262626e-01    1.000000e+02    2.084690e-09
         3       63    1.800300e+01    6.363636e-01    1.000000e+02    7.083116e-09
         3       64    1.800300e+01    6.464646e-01    1.000000e+02    2.330597e-08
         3       65    1.800300e+01    6.565657e-01    1.000000e+02    7.426489e-08
         3       66    1.800300e+01    6.666667e-01    1.000000e+02    2.291823e-07
         3       67    1.800300e+01    6.767677e-01    1.000000e+02    9.315013e-06
         3       68    1.800300e+01    6.868687e-01    1.000000e+02    1.801708e-05
