Ket qua tinh toan he phuong trinh sau 999 lan lap:

####################################################################################################

    i             F1              F2              f5              F3              f2              f3              f1              f4               sai_so
  100   -0.000000000 -875896336069814812879618048.000000000 875896336069814812879618048.000000000 2145499090944378320449437696.000000000 -1517096956236343341674921984.000000000 10000.000000000 -3034193912472686683349843968.000000000 2627689008209444163760947200.000000000         8.289572e+27
  101   -0.000000000 1517096956236343341674921984.000000000 -1517096956236343341674921984.000000000 -3716113433108502511500656640.000000000 2627689008209444163760947200.000000000 10000.000000000 5255378016418888327521894400.000000000 -4551290868709029750146859008.000000000         1.435796e+28
  102   -0.000000000 -2627689008209444163760947200.000000000 2627689008209444163760947200.000000000 6436497272833134961348313088.000000000 -4551290868709029750146859008.000000000 10000.000000000 -9102581737418059500293718016.000000000 7883067024628331391771213824.000000000         2.486872e+28
  103   -0.000000000 4551290868709029750146859008.000000000 -4551290868709029750146859008.000000000 -11148340299325507534501969920.000000000 7883067024628331391771213824.000000000 10000.000000000 15766134049256662783542427648.000000000 -13653872606127087601173135360.000000000         4.307388e+28
  104   -0.000000000 -7883067024628331391771213824.000000000 7883067024628331391771213824.000000000 19309491818499402685021683712.000000000 -13653872606127087601173135360.000000000 10000.000000000 -27307745212254175202346270720.000000000 23649201073884990876778758144.000000000         7.460615e+28
  105   -0.000000000 13653872606127087601173135360.000000000 -13653872606127087601173135360.000000000 -33445020897976516006436143104.000000000 23649201073884990876778758144.000000000 10000.000000000 47298402147769981753557516288.000000000 -40961617818381251808403128320.000000000         1.292216e+29
  106   -0.000000000 -23649201073884990876778758144.000000000 23649201073884990876778758144.000000000 57928475455498190462879006720.000000000 -40961617818381251808403128320.000000000 10000.000000000 -81923235636762503616806256640.000000000 70947603221654959436196741120.000000000         2.238184e+29
  107   -0.000000000 40961617818381251808403128320.000000000 -40961617818381251808403128320.000000000 -100335062693929521631029362688.000000000 70947603221654959436196741120.000000000 10000.000000000 141895206443309901280207437824.000000000 -122884853455143729036930318336.000000000         3.876649e+29
  1088796093022208.000000000 -70947603221654950640103718912.000000000 70947603221654950640103718912.000000000 173785426366494536204264931328.000000000 -122884853455143729036930318336.000000000 10000.000000000 -245769706910287458073860636672.000000000 212842809664964825532032090112.000000000         6.714553e+29
  109   -0.000000000 122884853455143729036930318336.000000000 -122884853455143729036930318336.000000000 -301005188081788494524343910400.000000000 212842809664964825532032090112.000000000 10000.000000000 425685619329929651064064180224.000000000 -368654560365431151926418866176.000000000         1.162995e+30
  110   -0.000000000 -212842809664964825532032090112.000000000 212842809664964825532032090112.000000000 521356279099483573428422705152.000000000 -368654560365431151926418866176.000000000 10000.000000000 -737309120730862303852837732352.000000000 638528428994894476596096270336.000000000         2.014366e+30
  111   -0.000000000 368654560365431151926418866176.000000000 -368654560365431151926418866176.000000000 -903015564245365483573031731200.000000000 638528428994894476596096270336.000000000 10000.000000000 1277056857989788953192192540672.000000000 -1105963681096293385410512420864.000000000         3.488984e+30
  112   -0.000000000 -638528428994894476596096270336.000000000 638528428994894476596096270336.000000000 1564068837298450438810291404800.000000000 -1105963681096293385410512420864.000000000 10000.000000000 -2211927362192586489346048131072.000000000 1915585286984682866838335389696.000000000         6.043098e+30
  113-140737488355328.000000000 1105963681096293244673024065536.000000000 -1105963681096293244673024065536.000000000 -2709046692736095465556676706304.000000000 1915585286984682866838335389696.000000000 10000.000000000 3831170573969365170726717358080.000000000 -3317891043288878608119165353984.000000000         1.046695e+31
  114281474976710656.000000000 -1915585286984682585363358679040.000000000 1915585286984682585363358679040.000000000 4692206511895349627581013950464.000000000 -3317891043288878608119165353984.000000000 10000.000000000 -6635782086577757216238330707968.000000000 5746755860954046911665145905152.000000000         1.812929e+31
  115   -0.000000000 3317891043288878608119165353984.000000000 -3317891043288878608119165353984.000000000 -8127140078208285270770123276288.000000000 5746755860954046911665145905152.000000000 10000.000000000 11493511721908093823330291810304.000000000 -9953673129866634698457589219328.000000000         3.140086e+31
  116   -0.000000000 -5746755860954046911665145905152.000000000 5746755860954046911665145905152.000000000 14076619535686047193893181587456.000000000 -9953673129866634698457589219328.000000000 10000.000000000 -19907346259733269396915178438656.000000000 17240267582862138483195624030208.000000000         5.438788e+31
  117   -0.000000000 9953673129866634698457589219328.000000000 -9953673129866634698457589219328.000000000 -24381420234624850182810835615744.000000000 17240267582862138483195624030208.000000000 10000.000000000 34480535165724272462791620689920.000000000 -29861019389599898465873233444864.000000000         9.420257e+31
  1182251799813685248.000000000 -17240267582862136231395810344960.000000000 17240267582862136231395810344960.000000000 42229858607058132574480290021376.000000000 -29861019389599898465873233444864.000000000 10000.000000000 -59722038779199796931746466889728.000000000 51720802748586406442387617349632.000000000         1.631636e+32
  119   -0.000000000 29861019389599898465873233444864.000000000 -29861019389599898465873233444864.000000000 -73144260703874537037633624735744.000000000 51720802748586406442387617349632.000000000 10000.000000000 103441605497172812884775234699264.000000000 -89583058168799681886820818223104.000000000         2.826077e+32
  120   -0.000000000 -51720802748586406442387617349632.000000000 51720802748586406442387617349632.000000000 126689575821174379709042360582144.000000000 -89583058168799681886820818223104.000000000 10000.000000000 -179166116337599363773641636446208.000000000 155162408245759192305565087825920.000000000         4.894909e+32
  121   -0.000000000 89583058168799681886820818223104.000000000 -89583058168799681886820818223104.000000000 -219432782111623584091303109984256.000000000 155162408245759192305565087825920.000000000 10000.000000000 310324816491518384611130175651840.000000000 -268749174506399009631665435705344.000000000         8.478232e+32
  122   -0.000000000 -155162408245759192305565087825920.000000000 155162408245759192305565087825920.000000000 380068727463523067069533043818496.000000000 -268749174506399009631665435705344.000000000 10000.000000000 -537498349012797947205736833482752.000000000 465487224737277450815905697103872.000000000         1.468473e+33
