# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
# Ghi lai vi tri va bien do cua dinh song tai moi thoi diem
#

####################################################################################################
#           t (s)  x_dinh_song_num (m)       u_dinh_song_num (m)      x_dinh_song_anal (m)      u_dinh_song_anal (m)
   2.10000000e-02       5.28169014e-01           -5.74596230e-01            5.28169014e-01           -5.88222909e-01
   2.11000000e-02       5.35211268e-01           -5.66426083e-01            5.35211268e-01           -5.80375055e-01
   2.12000000e-02       5.42253521e-01           -5.58491758e-01            5.42253521e-01           -5.72220168e-01
   2.13000000e-02       5.49295775e-01           -5.51003361e-01            5.49295775e-01           -5.63780580e-01
   2.14000000e-02       5.56338028e-01           -5.43358661e-01            5.56338028e-01           -5.55117857e-01
   2.15000000e-02       5.63380282e-01           -5.35118886e-01            5.63380282e-01           -5.46284967e-01
   2.16000000e-02       5.70422535e-01           -5.26679705e-01            5.63380282e-01           -5.37800080e-01
   2.17000000e-02       5.77464789e-01           -5.18612778e-01            5.70422535e-01           -5.31058414e-01
   2.18000000e-02       5.84507042e-01           -5.10824778e-01            5.77464789e-01           -5.24065829e-01
   2.19000000e-02       5.91549296e-01           -5.02802331e-01            5.84507042e-01           -5.16791456e-01
   2.20000000e-02       5.91549296e-01           -4.94549702e-01            5.91549296e-01           -5.09205376e-01
   2.21000000e-02       5.98591549e-01           -4.87025927e-01            5.98591549e-01           -5.01292227e-01
   2.22000000e-02       6.05633803e-01           -4.79214392e-01            6.05633803e-01           -4.93080726e-01
   2.23000000e-02       6.12676056e-01           -4.71198530e-01            6.12676056e-01           -4.84601533e-01
   2.24000000e-02       6.19718310e-01           -4.63257896e-01            6.19718310e-01           -4.75895869e-01
   2.25000000e-02       6.26760563e-01           -4.55391531e-01            6.26760563e-01           -4.67036697e-01
   2.26000000e-02       6.33802817e-01           -4.47364216e-01            6.26760563e-01           -4.58976256e-01
   2.27000000e-02       6.40845070e-01           -4.39135711e-01            6.33802817e-01           -4.52190402e-01
   2.28000000e-02       6.47887324e-01           -4.30956874e-01            6.40845070e-01           -4.45154501e-01
   2.29000000e-02       6.54929577e-01           -4.22983679e-01            6.47887324e-01           -4.37817158e-01
   2.30000000e-02       6.61971831e-01           -4.15008721e-01            6.54929577e-01           -4.30168876e-01
   2.31000000e-02       6.61971831e-01           -4.06979886e-01            6.61971831e-01           -4.22204467e-01
   2.32000000e-02       6.69014085e-01           -3.99432567e-01            6.69014085e-01           -4.13933282e-01
   2.33000000e-02       6.76056338e-01           -3.91809750e-01            6.76056338e-01           -4.05407284e-01
   2.34000000e-02       6.83098592e-01           -3.83816010e-01            6.83098592e-01           -3.96674525e-01
   2.35000000e-02       6.90140845e-01           -3.75541770e-01            6.90140845e-01           -3.87785910e-01
   2.36000000e-02       6.97183099e-01           -3.67356809e-01            6.90140845e-01           -3.80150724e-01
   2.37000000e-02       2.95774648e-01            3.74371527e-01            6.97183099e-01           -3.73315822e-01
   2.38000000e-02       3.02816901e-01            3.82170449e-01            3.02816901e-01            3.79000312e-01
   2.39000000e-02       3.09859155e-01            3.90520602e-01            3.09859155e-01            3.87520355e-01
   2.40000000e-02       3.16901408e-01            3.99079232e-01            3.16901408e-01            3.95785770e-01
   2.41000000e-02       3.23943662e-01            4.06876906e-01            3.23943662e-01            4.03752981e-01
   2.42000000e-02       3.30985915e-01            4.14263887e-01            3.30985915e-01            4.11394228e-01
   2.43000000e-02       3.38028169e-01            4.22208471e-01            3.38028169e-01            4.18725926e-01
   2.44000000e-02       3.45070423e-01            4.30443081e-01            3.45070423e-01            4.25764819e-01
   2.45000000e-02       3.52112676e-01            4.38053856e-01            3.52112676e-01            4.32544459e-01
   2.46000000e-02       3.52112676e-01            4.45954862e-01            3.52112676e-01            4.40632365e-01
   2.47000000e-02       3.59154930e-01            4.54481458e-01            3.59154930e-01            4.49487369e-01
   2.48000000e-02       3.66197183e-01            4.62438952e-01            3.66197183e-01            4.58187975e-01
   2.49000000e-02       3.73239437e-01            4.70342834e-01            3.73239437e-01            4.66670405e-01
   2.50000000e-02       3.80281690e-01            4.78472069e-01            3.80281690e-01            4.74875746e-01
   2.51000000e-02       3.87323944e-01            4.86442176e-01            3.87323944e-01            4.82782818e-01
   2.52000000e-02       3.94366197e-01            4.94073773e-01            3.94366197e-01            4.90371311e-01
   2.53000000e-02       4.01408451e-01            5.01722173e-01            4.01408451e-01            4.97639097e-01
   2.54000000e-02       4.08450704e-01            5.09518677e-01            4.08450704e-01            5.04626416e-01
   2.55000000e-02       4.08450704e-01            5.17264735e-01            4.15492958e-01            5.11371604e-01
   2.56000000e-02       4.15492958e-01            5.25736531e-01            4.15492958e-01            5.19874490e-01
   2.57000000e-02       4.22535211e-01            5.34157605e-01            4.22535211e-01            5.28711773e-01
   2.58000000e-02       4.29577465e-01            5.42072759e-01            4.29577465e-01            5.37369659e-01
   2.59000000e-02       4.36619718e-01            5.49648619e-01            4.36619718e-01            5.45803325e-01
   2.60000000e-02       4.43661972e-01            5.57457830e-01            4.43661972e-01            5.53961066e-01
   2.61000000e-02       4.50704225e-01            5.65586085e-01            4.50704225e-01            5.61802475e-01
   2.62000000e-02       4.57746479e-01            5.73509898e-01            4.57746479e-01            5.69329987e-01
   2.63000000e-02       4.64788732e-01            5.80916890e-01            4.64788732e-01            5.76548598e-01
   2.64000000e-02       4.64788732e-01            5.88846504e-01            4.71830986e-01            5.83479934e-01
   2.65000000e-02       4.71830986e-01            5.97182221e-01            4.71830986e-01            5.90191407e-01
   2.66000000e-02       4.78873239e-01            6.05024617e-01            4.78873239e-01            5.99114726e-01
   2.67000000e-02       4.85915493e-01            6.12809113e-01            4.85915493e-01            6.07922475e-01
   2.68000000e-02       4.92957746e-01            6.20853402e-01            4.92957746e-01            6.16549243e-01
   2.69000000e-02       5.00000000e-01            6.28974033e-01            5.00000000e-01            6.24927780e-01
   2.70000000e-02       5.07042254e-01            6.36851190e-01            5.07042254e-01            6.33027905e-01
   2.71000000e-02       5.14084507e-01            6.44503195e-01            5.14084507e-01            6.40817358e-01
   2.72000000e-02       5.21126761e-01            6.52197038e-01            5.21126761e-01            6.48278412e-01
   2.73000000e-02       5.28169014e-01            6.60032371e-01            5.28169014e-01            6.55440727e-01
   2.74000000e-02       5.35211268e-01            6.67851222e-01            5.35211268e-01            6.62332364e-01
   2.75000000e-02       5.35211268e-01            6.75865229e-01            5.35211268e-01            6.69442925e-01
   2.76000000e-02       5.42253521e-01            6.84021016e-01            5.42253521e-01            6.78357014e-01
   2.77000000e-02       5.49295775e-01            6.92019656e-01            5.49295775e-01            6.87128366e-01
   2.78000000e-02       5.56338028e-01            6.99887831e-01            5.56338028e-01            6.95712068e-01
